ProgId,pThreads,Mem_Hits,Mem_Misses,Mem_Latency,L1_Sets,L1_Latency,L1_Hits,L1_Misses,L2_Sets,L2_Latency,L2_Hits,L2_Misses,L3_Hits,L3_Misses,Instructions,InstructionsPerSecond,SimTime,Cycles,CyclesPerSecond,CommittedInstructions,CommittedInstructionsPerCycle,CommittedMicroInstructions,CommittedMicroInstructionsPerCycle,BranchPredictionAccuracy
13,2,0.0,4367.0,250,64,3,587120.0,7216.0,2048,25,4882.0,0,1024.0,7913.0,3460855,16659,713478.00,2853912,13737,2869248,1.005,5295586,1.856,0.9128
13,2,0.0,4375.0,250,128,4,555057.0,4453.0,1024,25,1385.0,0,1044.0,5536.0,3400491,16703,705022.25,2820089,13852,2825819,1.002,5221127,1.851,0.9096
13,2,0.0,4373.0,300,64,4,562947.0,7226.0,2048,25,4882.0,0,1026.0,7928.0,3439668,16200,812525.25,3250101,15307,2864933,0.8815,5288190,1.627,0.9126
13,4,0.0,4424.0,200,64,3,774203.0,5328.0,1024,18,2992.0,0,2326.0,6183.0,5693859,14715,623112.00,2492448,6442,5076728,2.037,8748674,3.51,0.9696
13,4,0.0,4418.0,200,128,3,648046.0,5073.0,1024,25,1387.0,0,2315.0,5903.0,5050223,14689,591344.00,2365376,6880,4439972,1.877,7752298,3.277,0.9628
13,4,0.0,4424.0,250,64,3,809836.0,5324.0,2048,25,2999.0,0,2324.0,6210.0,5873948,14741,675509.00,2702036,6781,5257182,1.946,9029813,3.342,0.9712
13,1,0.0,5870.0,200,64,3,3747779.0,44117.0,1024,18,40422.0,0,0.0,45972.0,10916746,14769,3181492.00,12725968,17217,10177608,0.7998,18970556,1.491,0.9548
13,1,0.0,5867.0,200,128,3,3748691.0,43562.0,1024,25,39491.0,0,0.0,45697.0,10917200,14885,3337527.00,13350108,18203,10177551,0.7624,18970458,1.421,0.9549
5,16,0.0,5659.0,200,64,3,637443.0,8216.0,1024,18,1875.0,0,11608.0,11659.0,6010257,15126,940393.00,3761572,9467,3821213,1.016,8092093,2.151,0.8621
5,16,0.0,5666.0,200,128,3,638035.0,8095.0,1024,25,1241.0,0,11297.0,11222.0,5895277,14949,954981.00,3819924,9687,3820886,1,8091368,2.118,0.8678
5,16,0.0,5665.0,250,64,3,637361.0,7396.0,2048,25,1867.0,0,11512.0,11741.0,6011311,15034,999121.00,3996484,9995,3819990,0.9558,8089343,2.024,0.8623
5,16,0.0,5664.0,250,128,4,629792.0,7267.0,1024,25,1217.0,0,11476.0,11110.0,6021059,14906,1083019.25,4332077,10725,3820828,0.882,8091014,1.868,0.8606
5,16,0.0,5665.0,300,64,4,629816.0,8029.0,2048,25,1862.0,0,11868.0,11739.0,6152820,15005,1129696.25,4518785,11020,3822013,0.8458,8093447,1.791,0.8545
5,1,0.0,4455.0,200,64,3,1095251.0,11911.0,1024,18,8821.0,0,0.0,11748.0,5368717,16746,1377367.00,5509468,17185,3616356,0.6564,7716865,1.401,0.8847
5,1,0.0,4452.0,200,128,3,1095370.0,11840.0,1024,25,8519.0,0,0.0,11564.0,5366148,16267,1411270.00,5645080,17113,3616470,0.6406,7717007,1.367,0.885
5,1,0.0,4455.0,250,64,3,1095253.0,11911.0,2048,25,8821.0,0,0.0,11748.0,5368872,16434,1458859.00,5835436,17863,3616382,0.6197,7716903,1.322,0.8847
5,1,0.0,4462.0,250,128,4,1070481.0,11841.0,1024,25,8543.0,0,0.0,11565.0,5291954,16007,1618332.25,6473329,19580,3616362,0.5587,7716873,1.192,0.8904
5,1,0.0,4456.0,300,64,4,1070392.0,11915.0,2048,25,8827.0,0,0.0,11749.0,5291226,15850,1669323.25,6677293,20002,3616336,0.5416,7716831,1.156,0.8905
